:0000 TENDA VILLAGE
4963 18c8 24b0
49e6 1980 24c0
49e6 1980 24c8
49e6 1980 24d0
49e6 1980 24d8
49e6 1980 24e0

:4068 DALAAM THRONE ROOM
416d 1b50 2088

:4070 BIG HOTEL
40f2 1ca8 2058
40f5 1d48 2078
4177 1dd0 20a8

:4078 PATH TO DALAAM THRONE ROOM
4178 1e28 2088
417f 1fd0 2088

:422c BIG GRAY TUNNEL
432c 0b28 21a0
43b7 0df0 21c0

:4238 HELLA LONG CRYPT STAIRCASE
#42b8 0e28 2148
#45c3 10d0 22e8

:4240 THUNDER AND STORM DEAD END WITH GIFTS
4341 1068 21a8
4341 1070 21a8

4347 11f0 21b0

:4268 TWOSON THEATER
4369 1a48 2188
436f 1bd0 21a8

:4270 BUS STATION
42f5 1d50 2168

:4378 SHORT HIGHWAY TUNNEL
43f8 1e30 21c0
43f8 1e28 21c8
43f8 1e20 21d0
43f8 1e18 21d8
43f8 1e10 21e0
43f8 1e08 21e8
43ff 1fc8 21c0
43ff 1fd0 21c8
43ff 1fd8 21d0
43ff 1fe0 21d8
43ff 1fe8 21e0
43ff 1ff0 21e8

:4278 SCARABA HOSPITAL
42fd 1f50 2168

:4468 SUMMERS EGYPTIAN MUSEUM
4568 1a28 22a8
456f 1bd8 22b0
456f 1bd8 22b8
45ef 1bd8 22c0
45ef 1bd8 22c8

:4470 SUMMERS LOBBY
4473 1cc0 2238
44f1 1c48 2248
4475 1d40 2238

45f0 1c10 22e0
45f7 1de8 22e0

:4478
447a 1e88 2238
44f8 1e08 2268
44fd 1f70 2260
44fd 1f70 2268

:4578
45f9 1e50 22c8

:457c
45ff 1fd0 22e8

:4668
.46ea 1ab0 2368

:4768
47eb 1af0 23e8

:466c SUMMERS RESTAURANT
4775 1d58 23b0
47f5 1d68 23c0

:4678
.46fa 1eb0 2368

:4778
.47fb 1ed8 23d0

:467c DINING AREA IN STAIRWELL
477e 1fa8 2380
47ff 1fe8 23c0

:4868
486a 1a88 2438
48e8 1a08 2468
48eb 1af0 2468

:4968
49e8 1a08 24e8
49eb 1af0 24e8

:486c
.48ef 1bd0 2468

:496c
49ee 1bb0 24e8

:4870
48f1 1c50 2448

:4970
.49f3 1cf0 24e8

:4874
.48f7 1dd0 2468

:4974
.49f7 1df0 24e8

:4878
4879 1e68 2438
487a 1ea8 2438
48fc 1f30 2468

:4978
.49fb 1ef0 24e8

:497c
.49ff 1ff0 24e8

:4420 DUSTY DUNES DESERT
4b98 0608 25e8
4b36 0d98 2598
4b39 0e50 25a0
4d95 0578 26d8
4e06 0180 2700
4e06 0180 2708
4e06 0180 2710
4e06 0180 2718
4e06 0180 2720
4e06 0180 2728
4e06 0180 2730
4e06 0180 2738
4e41 1078 2700
4e41 1078 2708
4e41 1078 2710
4e41 1078 2718
4e41 1078 2720
4e41 1078 2728
4e41 1078 2730
4e41 1078 2738
#4b39 0e48 25a8

:4b44 CRYPT STAIRCASE
#4bc4 1108 25c8
#4cc9 1270 2668

:4b60
.4be2 1890 25d0

:4b64
#4b67 19e0 2580
##4be4 1900 25e8

:4a68
.4aeb 1af0 2568

:4b68
4b6a 1a90 25b8
4be8 1a08 25e8
4beb 1af0 25e8

:4a6c
4aec 1b00 2560
4aec 1b00 2568
4aef 1bf0 2568
4aec 1b00 2570

:4b6c
.4bee 1bb0 25e8

:4a70
.4af2 1c90 2548

:4b70
4bf3 1cd0 25e8

:4a74
4a75 1d68 2538

4af4 1d08 2568

:4b74
.4bf7 1dd0 25e8

:4a78
4afa 1e90 2548

:4b78
4bf9 1e48 25d8
4bfa 1e88 25d8
4bf8 1e08 25e8

:4a7c
.4afc 1f08 2568

:4b7c
4bff 1ff0 25e8

:4c5c FIRE SPRING SANCTUARY LOCATION
4d63 18c8 2690
4d63 18d0 2690

:4c68
.4cea 1ab0 2668

:4d68
4d6a 1a90 26b8
4de8 1a08 26e8
4deb 1af0 26e8

:4c6c
.4cee 1bb0 2668

:4d6c
.4def 1bd8 26d0

:4c70
.4cf2 1cb0 2668

:4d70
4df3 1cd0 26e8

:4d74
.4df6 1db8 26d0

:4c78
4cfa 1eb0 2668

:4d78
4df9 1e48 26d8
4dfa 1e88 26d8
4df8 1e08 26e8

:4c7c
4cff 1fd0 2668

:4d7c
4dff 1fd0 26e8

:4d44 HIGHWAY BRIDGE TO FOURSIDE
4e46 1180 2700
4e46 1180 2708
4e46 1180 2710
4e46 1180 2718
4e46 1180 2720
4e46 1180 2728
4e46 1180 2730
4e46 1180 2738
4e59 1678 2700
4e59 1678 2708
4e59 1678 2710
4e59 1678 2718
4e59 1678 2720
4e59 1678 2728
4e59 1678 2730
4e59 1678 2738

:4f44 MEDIUM LENGTH HIGHWAY TUNNEL
#4fc4 1130 27c0
#4fc4 1128 27c8
#4fc4 1120 27d0
#4fc4 1118 27d8
#4fc4 1110 27e0
#4fc4 1108 27e8

#4fd7 15c8 27c0
#4fd7 15d0 27c8
#4fd7 15d8 27d0
#4fd7 15e0 27d8
#4fd7 15e8 27e0
#4fd7 15f0 27e8

:4f5c LONG HIGHWAY TUNNEL
#4fdc 1730 27c0
#4fdc 1728 27c8
#4fdc 1720 27d0
#4fdc 1718 27d8
#4fdc 1710 27e0
#4fdc 1708 27e8

#4ffb 1ec8 27c0
#4ffb 1ed0 27c8
#4ffb 1ed8 27d0
#4ffb 1ee0 27d8
#4ffb 1ee8 27e0
#4ffb 1ef0 27e8

:4e68
##4e6b 1ad0 2728

:4e6c
4eec 1b08 2748
4eef 1bf0 2748

:4e74 BROWN TUNNEL
4ef4 1d08 2758
4efb 1ef0 2748

:4e7c ZOMBIE TENT
.4eff 1fe0 2778
.4f7f 1fe0 2780
